,Unnamed: 0,Date,Time,In_Temperature,In_Humidity,SB-51-00,SP-11-00,SP-19-01,TGS2602-B00,TGS2620-C00,SP-31-00,SP3S-AQ2-01,Intensity
0,0,2/6/21,00:16:38,39.77341624,23.71709773,0.048758631,0.145296636,0.003304469,0.336705826,0.037434677,0.001829334,0.165456815,1
1,1,2/6/21,00:36:38,39.69642176,23.72009868,0.024491826,0.071077341,0.001535557,0.138841878,0.018149578,0.000845911,0.081830408,1
2,2,2/6/21,00:56:38,39.61916025,23.73551029,0.024514744,0.070883573,0.00156056,0.136427074,0.01780788,0.000879247,0.081734566,1
3,3,2/6/21,01:16:38,39.54866356,23.73362834,0.025691936,0.066312321,0.001281367,0.062714075,0.01518264,0.000745902,0.078259248,1
4,4,2/6/21,01:36:38,39.47727677,23.74659851,0.000343781,5.42E-05,3.96E-05,0.003058613,2.92E-05,2.08E-05,0.000343781,1
5,5,2/6/21,01:56:38,39.38123395,23.75890745,0.000350032,4.17E-06,1.67E-05,0.000439624,0.000245856,1.67E-05,0.000306278,1
6,6,2/6/21,02:16:38,39.34260319,23.7202004,6.46E-05,0.000308362,1.25E-05,0.002598155,0.000104176,3.13E-05,0.000314612,1
7,7,2/6/21,02:36:38,39.31848122,23.669337,0.00014168,0.000268775,2.08E-06,0.00203977,0.000281276,2.71E-05,0.000220854,1
8,8,2/6/21,02:56:38,39.25145597,23.67330434,2.29E-05,0.000185434,8.33E-06,0.197961874,0.000181267,8.33E-06,1.67E-05,1
9,9,2/6/21,03:16:38,39.17188017,23.69370057,5.63E-05,0.000225021,2.08E-06,0.072169107,0.000264608,1.04E-05,0.000193768,1
10,10,2/6/21,03:36:38,39.10129447,23.68988581,0.003817016,0.000948003,0.00011251,0.358259883,0.002614823,9.58E-05,0.002350215,1
11,11,2/6/21,03:56:38,39.1031637,23.60296025,0.007800714,0.003083616,0.00032503,0.495749554,0.005317153,0.000129178,0.006575602,1
12,12,2/6/21,04:16:38,39.08918898,23.55738664,0.003742009,0.002385635,0.000229188,0.252016823,0.002683579,3.33E-05,0.004565001,1
13,13,2/6/21,04:36:38,38.99074286,23.58149589,0.005492169,0.002008517,5.83E-05,0.24434112,0.005771362,0.000158348,0.001020927,1
14,14,2/6/21,04:56:38,38.81610335,23.67081203,0.001398045,0.003814933,0.000297944,0.02264374,0.003131537,0.000225021,0.005619264,1
15,15,2/6/21,05:16:38,38.70181328,23.72004781,8.75E-05,0.000954254,3.75E-05,0.046631353,0.001220945,1.25E-05,0.000458375,1
16,16,2/6/21,05:36:38,38.59437705,23.74959945,0.001904341,0.005902624,0.000283359,0.003404478,0.003710756,0.000179183,0.004381651,1
17,17,2/6/21,05:56:38,38.49468477,23.779558,0.000560468,0.001245947,3.96E-05,0.003396144,0.000948003,8.33E-06,0.00033128,1
18,18,2/6/21,06:16:38,38.38493426,23.83128608,0.001033428,0.002787755,9.17E-05,1.04E-05,0.001914759,7.92E-05,0.001535557,1
19,19,2/6/21,06:36:38,38.30660461,23.83784746,0.000629224,0.001118852,2.71E-05,0.005842202,0.001123019,4.17E-06,3.96E-05,1
20,20,2/6/21,06:56:38,38.20219476,23.87279062,0.000145847,0.0001771,8.33E-06,0.001389711,0.000306278,2.08E-05,0.000389619,1
21,21,2/6/21,07:16:38,38.11086951,23.89659469,0.001656402,0.003158623,0.000127095,0.013532489,0.002629407,4.38E-05,0.000250023,1
22,22,2/6/21,07:36:38,38.04455634,23.90681824,0.000410454,0.001079265,2.08E-06,0.000277109,0.000591721,1.04E-05,0.000475043,1
23,23,2/6/21,07:56:38,38.07437502,23.80972,0.001414713,0.000104176,3.96E-05,0.015420162,0.00105843,8.13E-05,0.004083707,1
24,24,2/6/21,08:16:38,37.98322779,23.84384934,6.25E-06,0.001214695,8.33E-06,0.000179183,0.000852161,3.54E-05,0.000872997,1
25,25,2/6/21,08:36:38,37.97405966,23.77681137,1.46E-05,0.00432748,0.000227104,0.001150105,0.001952262,0.000114594,0.004565001,1
26,26,2/6/21,08:56:38,38.03948272,23.6572315,7.92E-05,0.004706681,0.000193768,0.000743818,0.001843919,7.50E-05,0.00393161,1
27,27,2/6/21,09:16:38,38.1196816,23.526716,0.000343781,0.002946103,5.83E-05,0.021366539,0.000639642,5.63E-05,0.003058613,1
28,28,2/6/21,09:36:38,38.11327281,23.47544569,0.000310445,0.002708581,2.29E-05,0.042020514,0.001181358,4.17E-06,0.000933419,1
29,29,2/6/21,09:56:38,38.13410137,23.40678009,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
30,30,2/6/21,10:16:38,38.18012004,23.31446301,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
31,31,2/6/21,10:36:38,38.23210244,23.23008062,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
32,32,2/6/21,10:56:38,38.22453651,23.19584955,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
33,33,2/6/21,11:16:38,38.26396836,23.12097861,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
34,34,2/6/21,11:36:38,38.2683299,23.08242415,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
35,35,2/6/21,11:56:38,38.28995956,23.03003484,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
36,36,2/6/21,12:16:38,38.36214745,22.93044429,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
37,37,2/6/21,12:36:38,38.4510694,22.81900257,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
38,38,2/6/21,12:56:38,38.56722871,22.69184405,0.000210436,9.17E-05,2.92E-05,0.004542083,0.000212519,4.17E-06,0.000333364,1
39,39,2/6/21,13:16:38,38.68045065,22.55731034,0.000835493,0.000181267,7.71E-05,0.001733492,0.000300027,2.29E-05,0.00079799,1
40,40,2/6/21,13:36:38,38.79901325,22.42292922,0.000812574,0.000256273,9.17E-05,0.002510647,0.000547967,5.00E-05,0.000889665,1
41,41,2/6/21,13:56:38,38.91303629,22.27588312,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
42,42,2/6/21,14:16:38,39.03907581,22.15462476,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
43,43,2/6/21,14:36:38,39.13173622,22.04954096,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
44,44,2/6/21,14:56:38,39.22279444,21.93443707,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
45,45,2/6/21,15:16:38,39.31029221,21.8231988,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
46,46,2/6/21,15:36:38,39.40580097,21.70997686,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
47,47,2/6/21,15:56:38,39.52738994,21.57422243,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
48,48,2/6/21,16:16:38,39.6447954,21.45581242,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
49,49,2/6/21,16:36:38,39.78712393,21.30042471,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
50,50,2/6/21,16:56:38,39.9201063,21.13282979,0.000410454,0.00025419,3.96E-05,0.190886226,0.000516714,3.75E-05,0.000489628,1
51,51,2/6/21,17:16:29,40.01321177,21.01818367,0.000964672,0.011094766,7.50E-05,0.050302522,0.000852161,0.000418788,0.006144313,1
52,52,2/6/21,17:35:18,40.02264693,20.97276265,0.000152097,0.00425664,0.000125011,0.020312276,0.000604222,0.000143763,0.00153139,1
53,53,2/6/21,17:56:21,40.01614913,20.95440096,0.000454208,0.003262799,6.25E-05,0.012165697,0.000258357,0.000118761,0.001568894,1
54,54,2/6/21,18:14:24,40.00965133,20.92749421,0.000235438,0.001483469,4.17E-05,0.007342339,8.33E-05,2.29E-05,0.000302111,1
55,55,2/6/21,18:36:38,39.92918542,20.9735256,0.000525048,0.00331697,6.46E-05,0.235152779,0.000616723,8.33E-06,0.001791831,1
56,56,2/6/21,18:53:27,40.01561507,20.87800412,0.000527132,0.007536107,3.33E-05,0.040655805,0.001202193,0.000227104,0.003610747,1
57,57,2/6/21,19:16:38,39.93149971,20.90979375,0.000237522,0.002408554,5.00E-05,0.219636775,0.000110427,3.54E-05,1.04E-05,1
58,58,2/6/21,19:32:34,40.02309199,20.80069174,0.000647976,0.004177466,6.25E-05,0.43272295,0.000122928,0.00029586,0.006638108,1
