Ch,Med1,Med2,Med3,Med4,Med5,Med6,Med7,Med8,Med9,Med10
0,25.84,26.02,26.15,26.29,26.45,26.56,26.70,26.87,26.99,27.14,
0,39.72,39.36,39.11,38.91,38.63,38.41,38.18,37.99,37.70,37.49,
0,1.86681,1.87206,1.87618,1.87956,1.88162,1.88312,1.88331,1.88350,1.88331,1.88275,
1,3.31998,3.24047,3.16566,3.09609,3.02972,2.96803,2.90728,2.85196,2.80059,2.75371,
2,1.66468,1.65286,1.64218,1.63167,1.62117,1.61217,1.60299,1.59436,1.58574,1.57861,
3,1.29566,1.27804,1.26210,1.24673,1.23116,1.21672,1.20210,1.18954,1.17735,1.16816,
0,4.61245,4.61283,4.61245,4.61245,4.61264,4.61245,4.61264,4.61245,4.61245,4.61245,
1,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,
2,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,
3,2.42951,2.43570,2.44151,2.44845,2.45539,2.46251,2.46964,2.47545,2.47883,2.48276,
0,0.83121,0.83234,0.83290,0.83309,0.83309,0.83271,0.83234,0.83215,0.83178,0.83159,
1,0.12675,0.12319,0.11982,0.11682,0.11363,0.11100,0.10819,0.10575,0.10350,0.10125,
2,0.79990,0.77477,0.75321,0.73465,0.71833,0.70408,0.69152,0.68046,0.67052,0.66171,
3,1.36017,1.36279,1.36485,1.36635,1.36729,1.36804,1.36842,1.36842,1.36879,1.36860,
