Ch,Med1,Med2,Med3,Med4,Med5,Med6,Med7,Med8,Med9,Med10
0,41.54,41.57,41.50,41.58,41.60,41.61,41.67,41.70,41.67,41.69,
0,21.64,21.62,21.61,21.58,21.56,21.56,21.50,21.49,21.47,21.54,
0,1.66843,1.66880,1.66918,1.66918,1.66955,1.66955,1.66936,1.66918,1.66880,1.66843,
1,1.60861,1.60749,1.60692,1.60617,1.60524,1.60449,1.60355,1.60242,1.60149,1.60092,
2,1.26998,1.26960,1.26941,1.26923,1.26923,1.26904,1.26866,1.26829,1.26829,1.26773,
3,1.00634,1.00597,1.00559,1.00503,1.00466,1.00447,1.00428,1.00353,1.00316,1.00278,
0,4.73733,4.73714,4.73733,4.73714,4.73733,4.73714,4.73714,4.73714,4.73714,4.73714,
1,0.00788,0.00788,0.00769,0.00769,0.00769,0.00769,0.00769,0.00788,0.00788,0.00788,
2,0.00319,0.00338,0.00338,0.00338,0.00338,0.00338,0.00338,0.00319,0.00338,0.00338,
3,2.59583,2.59827,2.59995,2.60127,2.60258,2.60295,2.60408,2.60445,2.60502,2.60483,
0,0.45751,0.45733,0.45714,0.45695,0.45676,0.45658,0.45639,0.45620,0.45601,0.45583,
1,0.04144,0.04144,0.04144,0.04144,0.04125,0.04125,0.04125,0.04125,0.04125,0.04125,
2,0.56495,0.56477,0.56458,0.56439,0.56439,0.56402,0.56364,0.56308,0.56252,0.56195,
3,1.20266,1.20266,1.20285,1.20304,1.20322,1.20341,1.20360,1.20397,1.20435,1.20472,
