Ch,Med1,Med2,Med3,Med4,Med5,Med6,Med7,Med8,Med9,Med10
0,39.19,39.13,39.08,39.06,39.08,39.18,39.16,39.03,39.06,39.13,
0,22.91,22.90,23.03,23.04,22.98,22.99,23.02,23.03,22.96,23.03,
0,1.66918,1.66899,1.66880,1.66824,1.66805,1.66843,1.66805,1.66768,1.66711,1.66730,
1,1.99750,1.99619,1.99412,1.99300,1.99094,1.98981,1.98925,1.98737,1.98587,1.98512,
2,1.49067,1.49123,1.49198,1.49311,1.49255,1.49105,1.49086,1.49030,1.48992,1.49030,
3,1.11585,1.11360,1.11078,1.10891,1.10647,1.10422,1.10272,1.10066,1.09860,1.09841,
0,4.59164,4.59183,4.59183,4.59202,4.59202,4.59202,4.59202,4.59220,4.59220,4.59220,
1,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,
2,0.00469,0.00450,0.00450,0.00469,0.00450,0.00450,0.00469,0.00469,0.00450,0.00450,
3,2.39745,2.40082,2.40307,2.40457,2.40570,2.40626,2.40626,2.40664,2.40682,2.40664,
0,0.75602,0.75602,0.75602,0.75584,0.75584,0.75602,0.75621,0.75640,0.75640,0.75621,
1,0.05231,0.05231,0.05213,0.05213,0.05213,0.05213,0.05213,0.05213,0.05213,0.05213,
2,0.48283,0.48245,0.48245,0.48283,0.48301,0.48301,0.48264,0.48189,0.48151,0.48114,
3,1.26923,1.26941,1.26904,1.26885,1.26923,1.27016,1.27073,1.27148,1.27166,1.27223,
