Ch,Med1,Med2,Med3,Med4,Med5,Med6,Med7,Med8,Med9,Med10
0,27.40,27.58,27.72,27.88,27.99,28.06,28.20,28.34,28.48,28.65,
0,36.39,36.18,36.06,35.84,35.62,35.40,35.34,35.16,34.93,34.75,
0,2.13063,2.12838,2.12481,2.12013,2.11488,2.10831,2.10063,2.09313,2.08581,2.07794,
1,2.93109,2.81952,2.72352,2.63896,2.56452,2.49851,2.43945,2.38601,2.33745,2.29244,
2,1.66786,1.63374,1.60467,1.57899,1.55761,1.53886,1.52273,1.50848,1.49442,1.48073,
3,1.24466,1.22760,1.21429,1.20304,1.19404,1.18654,1.18054,1.17547,1.17004,1.16497,
0,4.89277,4.89315,4.89334,4.89334,4.89352,4.89371,4.89390,4.89390,4.89371,4.89409,
1,0.00488,0.00488,0.00506,0.00488,0.00488,0.00488,0.00506,0.00488,0.00506,0.00506,
2,0.00469,0.00469,0.00488,0.00469,0.00469,0.00469,0.00469,0.00488,0.00469,0.00469,
3,2.52626,2.53545,2.54276,2.54989,2.55570,2.55983,2.56377,2.56658,2.57070,2.57464,
0,0.91297,0.90678,0.90134,0.89646,0.89178,0.88746,0.88353,0.87978,0.87565,0.87171,
1,0.10688,0.10332,0.10013,0.09713,0.09450,0.09207,0.09000,0.08794,0.08607,0.08419,
2,0.81790,0.80646,0.79859,0.79334,0.78977,0.78696,0.78546,0.78471,0.78452,0.78471,
3,1.46911,1.46142,1.45373,1.44623,1.43892,1.43217,1.42561,1.41904,1.41248,1.40648,
