Ch,Med1,Med2,Med3,Med4,Med5,Med6,Med7,Med8,Med9,Med10
0,27.31,27.48,27.61,27.74,27.84,28.01,28.15,28.26,28.39,28.50,
0,37.32,37.10,36.69,36.40,36.35,36.19,35.97,35.76,35.59,35.43,
0,1.88125,1.87974,1.87824,1.87599,1.87393,1.87168,1.86924,1.86662,1.86381,1.86118,
1,2.68714,2.64514,2.60502,2.56695,2.53189,2.50001,2.46908,2.43720,2.40889,2.38226,
2,1.56886,1.56286,1.55705,1.55142,1.54655,1.54205,1.53736,1.53211,1.52780,1.52405,
3,1.15541,1.14716,1.13928,1.13141,1.12503,1.12016,1.11566,1.10966,1.10516,1.10160,
0,4.61227,4.61264,4.61227,4.61264,4.61245,4.61245,4.61283,4.61245,4.61264,4.61245,
1,0.00488,0.00488,0.00488,0.00488,0.00469,0.00488,0.00488,0.00488,0.00488,0.00488,
2,0.00469,0.00469,0.00469,0.00450,0.00469,0.00469,0.00450,0.00469,0.00469,0.00469,
3,2.48820,2.49176,2.49589,2.49870,2.50095,2.50264,2.50508,2.50751,2.50864,2.50958,
0,0.83065,0.83028,0.82953,0.82896,0.82859,0.82803,0.82709,0.82653,0.82596,0.82540,
1,0.09825,0.09638,0.09450,0.09300,0.09132,0.08982,0.08832,0.08700,0.08569,0.08438,
2,0.64952,0.64277,0.63677,0.63077,0.62533,0.62046,0.61596,0.61146,0.60714,0.60339,
3,1.36804,1.36710,1.36617,1.36542,1.36448,1.36354,1.36223,1.36092,1.35998,1.35867,
