Ch,Med1,Med2,Med3,Med4,Med5,Med6,Med7,Med8,Med9,Med10
0,39.70,39.66,39.67,39.70,39.82,39.84,39.89,39.87,39.80,39.83,
0,23.12,23.10,23.11,23.12,23.14,23.02,22.94,23.04,22.99,22.95,
0,1.63486,1.63524,1.63561,1.63692,1.63824,1.63955,1.64049,1.64030,1.64030,1.64086,
1,1.55011,1.54880,1.54805,1.54786,1.54692,1.54636,1.54561,1.54505,1.54730,1.55348,
2,1.18841,1.18860,1.18860,1.18935,1.18954,1.19010,1.19010,1.19047,1.19122,1.19329,
3,0.99003,0.99078,0.99022,0.99003,0.99022,0.99041,0.99041,0.99078,0.99397,1.00016,
0,4.74108,4.74127,4.74127,4.74146,4.74127,4.74127,4.74146,4.74146,4.74164,4.74183,
1,0.00356,0.00338,0.00356,0.00356,0.00356,0.00356,0.00356,0.00356,0.00356,0.00356,
2,0.00319,0.00319,0.00319,0.00319,0.00319,0.00319,0.00319,0.00319,0.00319,0.00319,
3,2.67702,2.67758,2.67796,2.67814,2.67796,2.67739,2.67702,2.67646,2.67383,2.66896,
0,0.60396,0.60358,0.60264,0.60171,0.60133,0.60077,0.60021,0.59983,0.59927,0.59871,
1,0.04331,0.04331,0.04313,0.04331,0.04313,0.04313,0.04313,0.04313,0.04331,0.04331,
2,0.56289,0.56214,0.56252,0.56289,0.56345,0.56439,0.56458,0.56345,0.56345,0.56402,
3,1.17154,1.17247,1.17247,1.17266,1.17341,1.17341,1.17360,1.17397,1.17454,1.17491,
