Ch,Med1,Med2,Med3,Med4,Med5,Med6,Med7,Med8,Med9,Med10
0,38.84,38.88,38.94,38.94,38.95,39.01,39.03,38.98,38.98,39.02,
0,23.44,23.48,23.46,23.45,23.46,23.41,23.41,23.44,23.42,23.36,
0,1.64949,1.65305,1.65605,1.65849,1.66111,1.66280,1.66374,1.66524,1.66805,1.67068,
1,1.74343,1.75055,1.75562,1.76105,1.76499,1.76762,1.77005,1.77343,1.77718,1.78055,
2,1.52236,1.53473,1.54336,1.55086,1.55611,1.55630,1.55461,1.55592,1.56192,1.56792,
3,1.01478,1.02041,1.02228,1.02416,1.02472,1.02378,1.02341,1.02453,1.02697,1.02772,
0,4.59352,4.59333,4.59314,4.59314,4.59314,4.59295,4.59295,4.59333,4.59314,4.59295,
1,0.00506,0.00506,0.00506,0.00506,0.00506,0.00506,0.00506,0.00506,0.00506,0.00506,
2,0.00469,0.00469,0.00488,0.00469,0.00469,0.00488,0.00488,0.00469,0.00488,0.00488,
3,2.38751,2.37701,2.37232,2.36838,2.36632,2.36876,2.37288,2.37120,2.36651,2.36220,
0,0.73502,0.73952,0.74215,0.74402,0.74552,0.74496,0.74327,0.74440,0.74684,0.74927,
1,0.04913,0.04950,0.04969,0.04988,0.04988,0.05006,0.05006,0.05006,0.05025,0.05044,
2,0.46108,0.46126,0.46108,0.46108,0.46126,0.46145,0.46126,0.46164,0.46220,0.46239,
3,1.29266,1.29566,1.29829,1.30054,1.30241,1.30354,1.30391,1.30560,1.30729,1.30917,
