Date,Hour,Lat,dirLat,Lon,dirLon
18/06/2021,09:19:13,3747.31535,N,00347.07766,W
18/06/2021,09:56:20,3747.30870,N,00347.07909,W
18/06/2021,10:16:19,3747.31545,N,00347.07254,W
18/06/2021,10:36:19,3747.31431,N,00347.07385,W
18/06/2021,10:56:19,3747.32269,N,00347.07224,W
18/06/2021,11:16:20,3747.31749,N,00347.07739,W
18/06/2021,11:36:20,3747.31064,N,00347.07452,W
18/06/2021,11:56:20,3747.31529,N,00347.07800,W
18/06/2021,12:16:20,3747.31410,N,00347.07672,W
18/06/2021,12:36:19,3747.30834,N,00347.07026,W
18/06/2021,12:56:19,3747.32057,N,00347.07663,W
18/06/2021,13:16:19,3747.32511,N,00347.07316,W
18/06/2021,13:56:19,3747.32255,N,00347.06487,W
18/06/2021,14:16:19,3747.31950,N,00347.07722,W
18/06/2021,14:36:19,3747.32164,N,00347.06585,W
18/06/2021,14:56:19,3747.32086,N,00347.07841,W
18/06/2021,15:16:19,3747.32106,N,00347.07525,W
18/06/2021,15:36:19,3747.31909,N,00347.07697,W
18/06/2021,16:16:20,3747.31294,N,00347.07362,W
18/06/2021,16:36:19,3747.31911,N,00347.08290,W
18/06/2021,16:56:19,3747.31609,N,00347.07611,W
18/06/2021,17:16:20,3747.31564,N,00347.07542,W
18/06/2021,17:36:19,3747.31467,N,00347.07694,W
18/06/2021,18:16:19,3747.31827,N,00347.06959,W
18/06/2021,18:36:19,3747.31540,N,00347.08278,W
18/06/2021,18:56:19,3747.31321,N,00347.07772,W
18/06/2021,19:16:19,3747.30002,N,00347.08027,W
18/06/2021,19:56:19,3747.31970,N,00347.07397,W
18/06/2021,20:16:19,3747.31291,N,00347.07240,W
18/06/2021,20:36:19,3747.31776,N,00347.06984,W
18/06/2021,20:56:19,3747.32197,N,00347.07506,W
18/06/2021,21:16:19,3747.32241,N,00347.07946,W
18/06/2021,21:36:19,3747.31235,N,00347.08086,W
18/06/2021,21:56:19,3747.31546,N,00347.08280,W
18/06/2021,22:16:19,3747.30954,N,00347.07658,W
18/06/2021,22:36:19,3747.32312,N,00347.06727,W
18/06/2021,22:56:19,3747.31949,N,00347.08977,W
18/06/2021,23:16:19,3747.31438,N,00347.07329,W
18/06/2021,23:36:19,3747.31491,N,00347.07995,W
18/06/2021,23:56:19,3747.30677,N,00347.07051,W
19/06/2021,00:16:19,3747.31735,N,00347.08171,W
19/06/2021,00:36:19,3747.30940,N,00347.07296,W
19/06/2021,00:56:19,3747.32218,N,00347.07835,W
19/06/2021,01:16:19,3747.32121,N,00347.07653,W
19/06/2021,01:36:19,3747.31840,N,00347.07649,W
19/06/2021,01:56:19,3747.31609,N,00347.07674,W
19/06/2021,02:16:19,3747.32008,N,00347.07675,W
